Microsoft SEAL version: 4.1.2
Running precomputations ...
[   2750 MB] Total allocation from the memory pool
---------------------------------------------------------------------------------------------------------------
Benchmark                                                                     Time             CPU   Iterations
n=8192 / log(q)=218 / CKKS / EvaluateMulCt/iterations:10                    541 us          541 us           10
n=8192 / log(q)=218 / CKKS / EvaluateMulPt/iterations:10                    250 us          250 us           10
n=8192 / log(q)=218 / CKKS / EvaluateSquare/iterations:10                   410 us          410 us           10
n=8192 / log(q)=218 / CKKS / EvaluateRescaleInplace/iterations:10           956 us          956 us           10
n=8192 / log(q)=218 / CKKS / EvaluateRelinInplace/iterations:10            3930 us         3928 us           10
n=8192 / log(q)=218 / CKKS / EvaluateRotate/iterations:10                  4002 us         4002 us           10
n=8192 / log(q)=218 / UTIL / NTTForward/iterations:10                      1062 us         1062 us           10
n=8192 / log(q)=218 / UTIL / NTTInverse/iterations:10                       833 us          833 us           10
n=8192 / log(q)=0 / UTIL / NTTForwardLowLevel/iterations:10                 131 us          131 us           10
n=8192 / log(q)=0 / UTIL / NTTInverseLowLevel/iterations:10                 101 us          101 us           10
n=8192 / log(q)=0 / UTIL / NTTForwardLowLevelLazy/iterations:10            88.7 us         88.7 us           10
n=8192 / log(q)=0 / UTIL / NTTInverseLowLevelLazy/iterations:10            92.8 us         92.8 us           10
n=16384 / log(q)=438 / KeyGen / Secret/iterations:10                       3591 us         3591 us           10
n=16384 / log(q)=438 / KeyGen / Public/iterations:10                       8952 us         8952 us           10
n=16384 / log(q)=438 / KeyGen / Relin/iterations:10                       73618 us        73614 us           10
n=16384 / log(q)=438 / KeyGen / Galois/iterations:10                      75010 us        75008 us           10
n=16384 / log(q)=438 / BFV / EncryptSecret/iterations:10                  10021 us        10022 us           10
n=16384 / log(q)=438 / BFV / EncryptPublic/iterations:10                  12782 us        12783 us           10
n=16384 / log(q)=438 / BFV / Decrypt/iterations:10                         5087 us         5088 us           10
n=16384 / log(q)=438 / BFV / EncodeBatch/iterations:10                      253 us          253 us           10
n=16384 / log(q)=438 / BFV / DecodeBatch/iterations:10                      295 us          295 us           10
n=16384 / log(q)=438 / BFV / EvaluateAddCt/iterations:10                    809 us          809 us           10
n=16384 / log(q)=438 / BFV / EvaluateAddPt/iterations:10                   1344 us         1344 us           10
n=16384 / log(q)=438 / BFV / EvaluateNegate/iterations:10                   569 us          569 us           10
n=16384 / log(q)=438 / BFV / EvaluateSubCt/iterations:10                    616 us          616 us           10
n=16384 / log(q)=438 / BFV / EvaluateSubPt/iterations:10                   1253 us         1253 us           10
n=16384 / log(q)=438 / BFV / EvaluateMulCt/iterations:10                  64684 us        64685 us           10
n=16384 / log(q)=438 / BFV / EvaluateMulPt/iterations:10                  10483 us        10477 us           10
n=16384 / log(q)=438 / BFV / EvaluateSquare/iterations:10                 47066 us        47068 us           10
n=16384 / log(q)=438 / BFV / EvaluateModSwitchInplace/iterations:10        1623 us         1623 us           10
n=16384 / log(q)=438 / BFV / EvaluateRelinInplace/iterations:10           25165 us        25166 us           10
n=16384 / log(q)=438 / BFV / EvaluateRotateRows/iterations:10             25407 us        25406 us           10
n=16384 / log(q)=438 / BFV / EvaluateRotateCols/iterations:10             26962 us        26963 us           10
n=16384 / log(q)=438 / BGV / EncryptSecret/iterations:10                  10874 us        10875 us           10
n=16384 / log(q)=438 / BGV / EncryptPublic/iterations:10                  20081 us        20083 us           10
n=16384 / log(q)=438 / BGV / Decrypt/iterations:10                         3582 us         3582 us           10
n=16384 / log(q)=438 / BGV / EncodeBatch/iterations:10                      254 us          254 us           10
n=16384 / log(q)=438 / BGV / DecodeBatch/iterations:10                      293 us          294 us           10
n=16384 / log(q)=438 / BGV / EvaluateNegate/iterations:10                   701 us          701 us           10
n=16384 / log(q)=438 / BGV / EvaluateNegateInplace/iterations:10            213 us          213 us           10
n=16384 / log(q)=438 / BGV / EvaluateAddCt/iterations:10                    723 us          723 us           10
n=16384 / log(q)=438 / BGV / EvaluateAddCtInplace/iterations:10             247 us          247 us           10
n=16384 / log(q)=438 / BGV / EvaluateAddPt/iterations:10                   3230 us         3230 us           10
n=16384 / log(q)=438 / BGV / EvaluateAddPtInplace/iterations:10            2834 us         2835 us           10
n=16384 / log(q)=438 / BGV / EvaluateMulCt/iterations:10                   2345 us         2345 us           10
n=16384 / log(q)=438 / BGV / EvaluateMulCtInplace/iterations:10            1996 us         1996 us           10
n=16384 / log(q)=438 / BGV / EvaluateMulPt/iterations:10                   3900 us         3900 us           10
n=16384 / log(q)=438 / BGV / EvaluateMulPtInplace/iterations:10            4289 us         4290 us           10
n=16384 / log(q)=438 / BGV / EvaluateSquare/iterations:10                  2079 us         2079 us           10
n=16384 / log(q)=438 / BGV / EvaluateSquareInplace/iterations:10           1637 us         1638 us           10
n=16384 / log(q)=438 / BGV / EvaluateModSwitchInplace/iterations:10        6403 us         6403 us           10
n=16384 / log(q)=438 / BGV / EvaluateRelinInplace/iterations:10           27140 us        27141 us           10
n=16384 / log(q)=438 / BGV / EvaluateRotateRows/iterations:10             29658 us        29659 us           10
n=16384 / log(q)=438 / BGV / EvaluateRotateRowsInplace/iterations:10      27811 us        27811 us           10
n=16384 / log(q)=438 / BGV / EvaluateRotateCols/iterations:10             27944 us        27944 us           10
n=16384 / log(q)=438 / BGV / EvaluateRotateColsInplace/iterations:10      28173 us        28173 us           10
n=16384 / log(q)=438 / BGV / EvaluateToNTTInplace/iterations:10            4403 us         4403 us           10
n=16384 / log(q)=438 / BGV / EvaluateFromNTTInplace/iterations:10          3487 us         3488 us           10
n=16384 / log(q)=438 / CKKS / EncryptSecret/iterations:10                  8038 us         8039 us           10
