t_start,t_end,delta,smid,warpid
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781697,133612964781738,41,0,7
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781683,133612964781726,43,0,8
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781685,133612964781728,43,0,9
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781687,133612964781730,43,0,10
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781641,133612964781720,79,0,11
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781660,133612964781720,60,0,12
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781662,133612964781722,60,0,13
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
133612964781664,133612964781724,60,0,14
